Bert-score,text_score,kg_score
,tensor(0.8681),tensor(0.8694)
,tensor(0.8591),tensor(0.8704)
,tensor(0.8733),tensor(0.8939)
,tensor(0.8632),tensor(0.8694)
,tensor(0.8937),tensor(0.8697)
,tensor(0.8598),tensor(0.8533)
,tensor(0.8499),tensor(0.8511)
,tensor(0.8947),tensor(0.8845)
,tensor(0.8780),tensor(0.8859)
,tensor(0.8745),tensor(0.8664)
,tensor(0.8699),tensor(0.8731)
,tensor(0.8533),tensor(0.8852)
,tensor(0.8810),tensor(0.8799)
,tensor(0.8737),tensor(0.8503)
,tensor(0.9062),tensor(0.9007)
,tensor(0.8959),tensor(0.8770)
,tensor(0.8679),tensor(0.8684)
,tensor(0.8637),tensor(0.8740)
,tensor(0.8535),tensor(0.8430)
,tensor(0.8717),tensor(0.8653)
,tensor(0.8648),tensor(0.8751)
,tensor(0.8742),tensor(0.8779)
,tensor(0.8848),tensor(0.8786)
,tensor(0.8772),tensor(0.8783)
,tensor(0.8645),tensor(0.8437)
,tensor(0.8852),tensor(0.8766)
,tensor(0.8600),tensor(0.8512)
,tensor(0.8490),tensor(0.8640)
,tensor(0.8427),tensor(0.8427)
,tensor(0.8964),tensor(0.8951)
,tensor(0.8644),tensor(0.8703)
,tensor(0.8683),tensor(0.8544)
,tensor(0.8798),tensor(0.8710)
,tensor(0.8451),tensor(0.8429)
,tensor(0.8769),tensor(0.8653)
,tensor(0.8563),tensor(0.8413)
,tensor(0.8803),tensor(0.8832)
,tensor(0.8557),tensor(0.8559)
,tensor(0.8551),tensor(0.8545)
,tensor(0.8714),tensor(0.8749)
,tensor(0.8631),tensor(0.8540)
,tensor(0.8548),tensor(0.8473)
,tensor(0.8732),tensor(0.8682)
,tensor(0.8795),tensor(0.8722)
,tensor(0.8714),tensor(0.8653)
,tensor(0.8770),tensor(0.8810)
,tensor(0.8976),tensor(0.9075)
,tensor(0.8671),tensor(0.8639)
,tensor(0.8517),tensor(0.8553)
,tensor(0.8906),tensor(0.8867)
,tensor(0.8712),tensor(0.8750)
